1;0;0.01
20;1;0.02
5;1;0.02
191;10;0.22
23;0;0.02
10;0;0.01
12;2;0.04
588;84;1.77
1;0;0.01
51;3;0.07
102;9;0.17
9;0;0.01
138;4;0.12
1;0;0.01
6;1;0.02
37;1;0.04
18;0;0.01
2;2;0.03
21;0;0.01
1;0;0.01
33;0;0.01
52;2;0.05
1;0;0.01
6;0;0.02
1;0;0.00
1;0;0.01
76;12;0.22
28;3;0.08
58;3;0.08
1;0;0.01
20;2;0.05
39;2;0.04
20;1;0.03
1;0;0.01
1;0;0.01
10;0;0.01
428;37;0.75
1;0;0.01
18;0;0.01
61;8;0.18
1;0;0.00
5;2;0.03
207;31;0.62
36;2;0.05
34;2;0.07
1;0;0.01
1;0;0.01
17;1;0.02
1;0;0.01
1;0;0.00
1;0;0.01
1;0;0.00
2351;369;7.00
28;3;0.06
1;0;0.01
28;1;0.02
65;5;0.08
174;11;0.21
114;7;0.15
402;81;1.43
12;0;0.01
1;0;0.01
52;8;0.13
1375;215;4.18
146;5;0.10
224;20;0.44
29;1;0.02
1;0;0.01
51;1;0.02
195;33;0.56
12;1;0.02
457;74;1.45
1;0;0.01
135;11;0.22
39;0;0.01
126;9;0.18
15;0;0.01
8;1;0.02
248;51;0.96
48;0;0.01
1;0;0.01
86;12;0.26
6;2;0.03
1;0;0.01
1;0;0.01
38;1;0.03
1;0;0.00
848;120;2.43
1;0;0.01
46;1;0.03
71;1;0.04
10;0;0.02
110;12;0.33
23;2;0.04
29;1;0.04
57;7;0.12
59;1;0.03
1;0;0.01
10;0;0.01
179;5;0.15
5;0;0.01
12;0;0.01
6;1;0.02
11;0;0.01
33;1;0.03
1;0;0.01
62;2;0.06
6;0;0.01
9;0;0.01
1;0;0.01
1;0;0.00
108;7;0.17
1;0;0.01
81;3;0.07
19;1;0.02
14;0;0.02
1;0;0.00
235;28;0.51
52;4;0.08
42;4;0.07
30;3;0.07
11;2;0.04
202;15;0.34
50;6;0.10
1;0;0.00
36;0;0.03
1;0;0.01
29;0;0.01
8;0;0.01
25;0;0.01
1;0;0.00
16;2;0.04
1;0;0.01
21;0;0.01
23;2;0.04
543;49;1.01
6;0;0.01
36;3;0.05
54;13;0.24
1;0;0.01
182;15;0.38
14;0;0.01
7;0;0.01
56;2;0.06
34;1;0.02
1;0;0.01
110;14;0.36
23;2;0.04
1;0;0.01
41;1;0.03
9;0;0.01
8;0;0.01
1;0;0.01
1;0;0.01
1;0;0.01
1;0;0.01
159;8;0.19
112;1;0.05
1;0;0.00
92;15;0.33
33;2;0.04
38;6;0.09
5;0;0.01
1;0;0.01
6;0;0.01
52;0;0.03
154;16;0.38
152;1;0.06
126;17;0.37
64;4;0.09
189;26;0.56
270;23;0.38
1;0;0.01
841;61;1.27
1;0;0.01
114;21;0.37
3;0;0.01
1;0;0.00
37;4;0.09
41;3;0.05
1;0;0.01
1;0;0.00
1;0;0.01
3;0;0.01
89;0;0.03
1;0;0.01
21;0;0.01
239;15;0.26
37;0;0.03
1;0;0.00
25;5;0.09
316;29;0.54
83;1;0.06
1;0;0.01
90;2;0.06
1;0;0.01
23;1;0.02
32;1;0.03
1;0;0.01
31;3;0.07
48;2;0.04
87;2;0.04
186;14;0.29
202;13;0.27
3;0;0.01
44;5;0.12
1;0;0.01
731;56;1.10
1913;382;7.02
5;0;0.01
8;0;0.01
34;3;0.07
1;0;0.01
162;28;0.47
102;3;0.10
5;0;0.01
19;0;0.01
1;0;0.01
42;7;0.12
78;2;0.05
36;1;0.03
1;0;0.01
16;0;0.01
55;3;0.06
29;2;0.03
35;5;0.10
2988;490;9.27
185;16;0.30
29;0;0.01
10;0;0.02
38;9;0.15
1;0;0.01
154;20;0.45
25;2;0.05
13;1;0.02
1;0;0.01
241;52;0.90
15;0;0.01
1;0;0.01
1;0;0.01
103;5;0.10
1;0;0.00
1;0;0.01
37;1;0.03
1;0;0.01
1;0;0.01
46;1;0.04
146;9;0.23
46;3;0.05
8;1;0.02
51;5;0.13
1160;92;1.76
4;0;0.01
56;19;0.33
32;1;0.02
25;0;0.01
2;1;0.02
1;0;0.00
8;0;0.01
1;0;0.01
99;1;0.04
44;1;0.04
4;0;0.01
1;0;0.01
1;0;0.00
1;0;0.01
24;1;0.02
5;2;0.03
169;10;0.20
1;0;0.00
9;0;0.01
30;0;0.01
17;0;0.01
79;10;0.18
1;0;0.01
1;0;0.01
1;0;0.01
1;0;0.00
94;12;0.20
